Id,date,Open,High,Low,close,Vol.,Change %
1875,4-Sep-15,226.2,231.1,225.8,230.3,61.76K,1.79%
1876,5-Sep-15,230.3,235.6,228.3,233.7,48.28K,1.49%
1877,6-Sep-15,233.7,243.6,234.7,239.9,66.27K,2.65%
1878,7-Sep-15,239.9,242.7,237.5,239.6,57.19K,-0.12%
1879,8-Sep-15,239.6,246.4,239.2,243.2,76.35K,1.53%
1880,9-Sep-15,243.2,244.3,236.5,237.4,69.26K,-2.40%
1881,10-Sep-15,237.4,240.6,234.3,238.1,60.54K,0.28%
1882,11-Sep-15,238.1,241,237.4,239.9,45.77K,0.76%
1883,12-Sep-15,239.9,240.3,233.3,235.6,43.77K,-1.79%
1884,13-Sep-15,235.6,236.2,228.3,230.2,51.60K,-2.30%
1885,14-Sep-15,230.2,232.6,226,229.9,61.10K,-0.12%
1886,15-Sep-15,229.9,242.8,228,229.5,49.52K,-0.17%
1887,16-Sep-15,229.5,230.9,225.1,228.6,51.91K,-0.41%
1888,17-Sep-15,228.6,235.2,227.9,232.7,56.06K,1.80%
1889,18-Sep-15,232.7,234.7,230.6,232.2,53.17K,-0.22%
1890,19-Sep-15,232.2,233.4,230.2,231.1,34.47K,-0.47%
1891,20-Sep-15,231.1,232.7,229.9,231.1,33.15K,0.00%
1892,21-Sep-15,231.1,231.6,225,226.3,53.43K,-2.06%
1893,22-Sep-15,226.3,233.2,224.1,230,71.55K,1.63%
1894,23-Sep-15,230,232.2,228.5,229.9,43.60K,-0.05%
1895,24-Sep-15,229.9,235.8,229.6,233.8,72.12K,1.68%
1896,25-Sep-15,233.8,237.6,232.7,235,61.58K,0.54%
1897,26-Sep-15,235,235.7,232.7,234.3,40.29K,-0.31%
1898,27-Sep-15,234.3,234.8,231.8,232.5,36.14K,-0.77%
1899,28-Sep-15,232.5,240.4,232.4,238.9,64.28K,2.74%
1900,29-Sep-15,238.9,240.4,234.8,236.7,57.30K,-0.90%
1901,30-Sep-15,236.7,237.8,234.4,235.9,50.52K,-0.33%
1902,1-Oct-15,235.9,238.7,234.7,237.1,52.88K,0.47%
1903,2-Oct-15,237.1,238.4,235.1,236.7,47.94K,-0.14%
1904,3-Oct-15,236.7,239.5,236.1,238.6,43.31K,0.79%
1905,4-Oct-15,238.6,277.6,237.5,238.3,31.85K,-0.10%
1906,5-Oct-15,238.3,240.5,236.4,240.1,61.24K,0.76%
1907,6-Oct-15,240.1,247.6,239.4,246.1,78.84K,2.49%
1908,7-Oct-15,246.1,247.3,241.6,243,62.60K,-1.28%
1909,8-Oct-15,243,244.8,241.6,242.6,44.15K,-0.16%
1910,9-Oct-15,242.6,244.6,241.3,244,40.57K,0.60%
1911,10-Oct-15,244,245.9,242.9,245.4,38.96K,0.54%
1912,11-Oct-15,245.4,248.3,244.5,247.6,41.43K,0.94%
1913,12-Oct-15,247.6,248,244.6,245.4,40.39K,-0.93%
1914,13-Oct-15,245.4,251.2,243.1,248.8,74.88K,1.40%
1915,14-Oct-15,248.8,255.1,248.3,252.3,69.58K,1.43%
1916,15-Oct-15,252.3,256.8,251.2,254.4,60.64K,0.84%
1917,16-Oct-15,254.4,267.3,253.9,262.9,95.18K,3.31%
1918,17-Oct-15,262.9,275.4,261.7,269.6,113.84K,2.55%
1919,18-Oct-15,269.6,272.4,259.5,261.7,52.27K,-2.93%
1920,19-Oct-15,261.7,266,259.9,263.8,58.17K,0.82%
